id,,fclt_name,ctprvn_nm,sgnr_nm,legaldong_cd,legaldong_cd_si,legaldong_cd_gu,legalemd_nm,adstrd_cd,adstrd_nm,rdnmaddr_cd,rdnm_addr,zip_cd,grid_cd,x_cd,y_cd,opmt_plce,fstvl_bgn_dt,fstvl_bgn_dt_year,fstvl_bgn_dt_month,fstvl_bgn_dt_day,fstvl_end_dt,fstvl_end_dt_year,fstvl_end_dt_month,fstvl_end_dt_day,fstvl_cn,mnnst,auspc_instt,supt_instt,telno,hmpg,rlt_inf,data_stdde,prvd_agnc_cd,prvd_agnc_nm,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KC488PO20N000025,,제27회 용문산 영목제,경기도,양평군,4183040033,41,41830,용문면,4183040000,용문면,4.18E+11,경기도 양평군 용문면 용문산로 655,12510,라사072496,37.5461701,127.5821614,용문산관광지내,20191012,2019,10,12,20191012,2019,10,12,"산신제, 헌주제, 기원제",양평문화원,용문분원,양평군,031-774-3866,,,20190920,4170000,경기도 양평군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000026,,간절곶해맞이,울산광역시,울주군,3171031025,31,31710,서생면,3171031000,서생면,3.17E+11,울산광역시 울주군 서생면 간절곶1길 39-2,45015,마마690086,35.35903711,129.3606753,간절곶공원,20191231,2019,12,31,20200101,2020,1,1,"해넘이 전야제, 해맞이행사","울주문화원,울산문화방송",울주군,울산광역시,,http://ganjeolgot.ulju.ulsan.kr/gan2014/,,20191209,3730000,울산광역시 울주군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000036,,2019 고양호수예술축제,경기도,고양시 일산동구,4128510400,41,41285,장항동,4128559000,장항2동,4.13E+11,경기도 고양시 일산동구 호수로 595 (장항동),10400,다사355618,37.65384593,126.7687814,고양시 호수공원 및인근거리,20191003,2019,10,3,20191006,2019,10,6,국내외 거리예술공연 및 시민참여프로그램,고양문화재단,고양시,,031-960-9682,http://www.gylaf.kr,,20191205,3940000,경기도 고양시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000037,,2019 고양행주문화제,경기도,고양시 덕양구,4128112600,41,41281,행주외동,4128163000,행주동,4.13E+11,경기도 고양시 덕양구 행주로15번길 89 (행주외동),10440,다사405553,37.59564085,126.8268514,행주산성+역사공원 일원,20190525,2019,5,25,20190526,2019,5,26,고유례+전통놀이한마당+행주투석전+뮤지컬행주대첩+시민참여문화체험 등,"고양문화재단, 고양문화원",고양시,,031-960-9683,http://www.hjfestival.or.kr,,20191205,3940000,경기도 고양시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000038,,노루목 봄 페스티벌 <ㅍㅍㅍ페스티벌>,경기도,고양시 일산동구,4128510500,41,41285,마두동,4128556000,마두1동,4.13E+11,경기도 고양시 일산동구 중앙로 1286 (마두동),10409,다사360626,37.66148641,126.7744561,고양아람누리 노루목야외극장,20190525,2019,5,25,20190526,2019,5,26,야외 콘서트,고양문화재단+페이지터너,고양문화재단+페이지터너,,02-337-9966,http://www.artgy.or.kr/PF/PF0201V.aspx?showid=0000005461,,20191205,3940000,경기도 고양시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000039,,신바람난 뮤지엄 페스티벌,경기도,고양시 덕양구,4128112300,41,41281,화정동,4128162200,화정2동,4.13E+11,경기도 고양시 덕양구 화중로 26 (화정동),10503,다사409591,37.62946909,126.8309509,고양어린이박물관,20190504,2019,5,4,20190505,2019,5,5,축하공연+문화체험+어드벤처 놀이터+가족 피크닉,고양어린이박물관,고양어린이박물관,,031-839-0300,http://goyangcm.or.kr/program/Special_event/index.asp?no=13&mode=view&IDX=1997&p=1,,20191205,3940000,경기도 고양시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000043,,제15회 창녕낙동강유채축제,경상남도,창녕군,4874025321,48,48740,남지읍,,,4.87E+11,경상남도 창녕군 남지읍 낙동로 483,50359,라마887108,35.389081,128.477232,남지읍 남지체육공원 일원,20190409,2019,4,9,20190412,2019,4,12,"개막식, 유채꽃 라디엔티어링, 낙동강 유채가요제, 낙동강 용왕대제, 유채축제 미술대회",사)창녕낙동강유채축제위원회,창녕군,,055-526-1331,,,20200306,5410000,경상남도 창녕군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000044,,안산국제거리극축제,경기도,안산시 단원구,4127310100,41,41273,고잔동,4127353500,호수동,4.13E+11,경기도 안산시 단원구 광덕대로 157 (고잔동),15471,다사406237,37.310742,126.829822,안산문화광장 및 안산시 일대,20190504,2019,5,4,20190506,2019,5,6,순수예술축제,안산시,안산문화재단,"문화체육관광부, 경기관광공사, 한국문화예술위원회, 한국지역진흥재단",031-481-0531,http://www.ansanfset.com,"화랑유원지,",20200531,3930000,경기도 안산시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000045,,별빛달빛놀이터,경기도,안산시 단원구,4127310700,41,41273,초지동,4127357000,초지동,4.13E+11,경기도 안산시 단원구 화정천서로 369 (초지동),15385,다사394259,37.330422,126.816788,단원청소년수련관,20190517,2019,5,17,20190517,2019,5,17,"버스킹 공연, 벼룩시장, 먹거리 야시장 등",안산시,안산시청소년재단 단원청소년수련관,,031-412-1763,www.ansanyouth.or.kr,,20200531,3930000,경기도 안산시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000046,,청소년의달 기념행사 <열정유>,경기도,안산시 단원구,4127310700,41,41273,초지동,4127357000,초지동,4.13E+11,경기도 안산시 단원구 화정천서로 369 (초지동),15385,다사394259,37.330422,126.816788,단원청소년수련관,20190519,2019,5,19,20190519,2019,5,19,"안산시청소년들을 위한 축제(공연,체험 등)",안산시,안산시청소년재단 상록청소년수련관,,031-412-1761,www.ansanyouth.or.kr,,20200531,3930000,경기도 안산시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000049,,거제 섬꽃축제,경상남도,거제시,4831034026,48,48310,거제면,4831034000,거제면,4.83E+11,경상남도 거제시 거제면 거제남서로 3577,53285,라라986518,34.85656738,128.579596,거제시 농업개발원,20191026,2019,10,26,20191103,2019,11,3,가을국화꽃 전시/ 국화작품전시/ 꽃동산 전시/ 첨단농업전시/ 국화전배전시 및 농특산물 홍보 판매 등 다양한 전시 및 행사,경상남도 거제시 농업개발과,경상남도 거제시 농업개발과,,055-639-6443,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000050,,금호강 바람소리길 축제,대구광역시,북구,2723011100,27,27230,산격동,2723062000,산격2동,2.72E+11,대구광역시 북구 연암로42길 61,41502,라마993683,35.90663896,128.6005355,금호강변(산격대교 하단 둔치),20190928,2019,9,28,20190929,2019,9,29,"테마공연, 체험형 메인프로그램,수상프로그램,어린이체험프로그램,지역복지박람회 등",북구청 문화예술과,(재)행복북구문화재단,,,,,20200201,3450000,대구광역시 북구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000051,,대구국제패션문화페스티벌,대구광역시,북구,2723010600,27,27230,침산동,2723056000,침산2동,2.72E+11,대구광역시 북구 호암로 51 (침산동),41585,라마989657,35.88368816,128.5959763,대구삼성창조캠퍼스,20191012,2019,10,12,20191014,2019,10,14,"국제문화패션쇼, 섬유패션 파사드 전시, 미디어 퍼포먼스 공연",한국패션산업연구원,"문화체육관광부, 대구광역시",,053-626-5523,http://www.difacul.com,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000058,,대구국제오페라축제,대구광역시,북구,2723010200,27,27230,칠성동2가,2723052600,칠성동,2.72E+11,대구광역시 북구 호암로 15 (칠성동2가),41585,라마985657,35.8834639,128.5922335,"대구오페라하우스, 수성못, 어울아트센터 등",20190913,2019,9,13,20191020,2019,10,20,"메인오페라, 소극장오페라, 프레콘서트, 수상음악회 등",(재)대구오페라하우스,"대구광역시, 재단법인대구오페라하우스","문화체육관광부, 한국문화예술위원회",053-666-3074,http://www.daeguoperahouse.org,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000059,,대구국제재즈축제,대구광역시,중구,2711015600,27,27110,남산동,2711064000,남산1동,2.71E+11,대구광역시 중구 중앙대로 273 (남산동),41968,라마984629,35.8579242,128.5906996,"수성못 상화동산, 수성아트피아 등",20190919,2019,9,19,20190921,2019,9,21,"재즈매니아, 실용음악콩쿠르, 프린지공연 등",대구국제재즈축제조직위원회,대구국제재즈축제조직위원회,"대구광역시, 문화체육관광부",053-1544-1850,http://www.dijf.or.kr,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000060,,2019컬러풀대구페스티벌,대구광역시,중구,2711010100,27,27110,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88 (동인동1가),41911,라마994644,35.87155388,128.60122,국채보상로(서성네거리~종각네거리),20190504,2019,5,4,20190505,2019,5,5,"퍼레이드,거리예술제,예술장터 등",(재)대구문화재단,대구광역시,"문화체육관광부, DGB대구은행",053-430-1263,http://www.cdf.or.kr,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000061,,국제보디페인팅축제,대구광역시,달서구,2729010200,27,27290,두류동,2729055000,두류3동,2.73E+11,대구광역시 달서구 공원순환로 46 (두류동),42672,라마955621,35.85086313,128.5576665,코오롱야외음악당,20190824,2019,8,24,20190825,2019,8,25,"바디페인팅 부문 경연, 바디페인팅 사진 전시, 각종 홍보관 등",DIBF 조직위원회,TBC,대구광역시,053-803-3881,http://dibf.co.kr/,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000062,,대구국제호러페스티벌,대구광역시,수성구,2726012700,27,27260,대흥동,2726068000,고산2동,2.73E+11,대구광역시 수성구 유니버시아드로 180 (대흥동),42250,마마075599,35.82976978,128.690163,대구스타디움 시민광장,20190802,2019,8,2,20190805,2019,8,5,"거리극페스티벌, 호러연극제, 부대행사(좀비런)",대구호러공연예술제조직위원회,(사)대구연극협회,"대구광역시, 대구MBC",053-628-7463,http://cafe.daum.net/dghr,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000063,,대구치맥페스티벌,대구광역시,달서구,2729010200,27,27290,두류동,2729055000,두류3동,2.73E+11,대구광역시 달서구 공원순환로 7 (두류동),42672,라마958621,35.85074648,128.5616534,두류공원일원,20190717,2019,7,17,20190721,2019,7,21,치킨과 맥주 행사에 걸맞는 각종 무대행사와 전시행사,대구치맥페스티벌조직위원회,(사)한국치맥산업협회,"대구광역시, 농림축산식품부, 식품의약품안전처",053-248-9998,http://chimacfestival.com,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000064,,대구포크페스티벌,대구광역시,동구,2714010200,27,27140,신천동,2714057000,신천3동,2.71E+11,대구광역시 동구 동대구로 461 (신천동),41260,마마015644,35.87142055,128.6248352,코오롱야외음악당,20190726,2019,7,26,20190728,2019,7,28,국내외 정상급 포크 공연,(사)대구포크페스티벌,대구광역시,"문화체육관광부, 대구MBC",053-626-2015,http://www.dgff.kr/,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000065,,대구약령시한방문화축제,대구광역시,중구,2711013700,27,27110,남성로,2711057500,성내2동,2.71E+11,대구광역시 중구 달구벌대로415길 49 (남성로),41934,라마984641,35.86851768,128.5899105,약령시(약전골목) 일원,20190502,2019,5,2,20190506,2019,5,6,"고유제, 개막식, 한방 관련 전시?문화?경연?공연?체험 프로그램",(사)약령시보존위원회,"대구광역시, 대구광역시 중구","문화체육관광부, 한국관광공사",053-253-4729,http://www.herbfestival.org,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000066,,형형색색달구벌관등놀이,대구광역시,남구,2720010300,27,27200,대명동,2720057100,대명2동,2.72E+11,대구광역시 남구 중앙대로51길 11 (대명동),42410,라마984627,35.85619572,128.5897529,"국채보상기념공원, 코오롱야외음악당",20190427,2019,4,27,20190506,2019,5,6,"풍등날리기, 연등행렬",형형색색 달구벌관등놀이 축제봉행위원회,(사)대구불교총연합회,"대구광역시, 문화체육관광부",053-623-6388,http://www.gwandeung.or.kr,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000067,,동아시아보자기페스티벌,대구광역시,북구,2723010600,27,27230,침산동,2723056000,침산2동,2.72E+11,대구광역시 북구 호암로 51 (침산동),41585,라마989657,35.88368816,128.5959763,대구삼성창조캠퍼스,20190928,2019,9,28,20190929,2019,9,29,"섬유작품 및 전시, 버스킹공연, 전시.체험 등",(재)대구문화재단,대구광역시,문화체육관광부,053-430-1263,http://www.daegufestival.com,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000068,,대구국제뮤지컬페스티벌,대구광역시,북구,2723010600,27,27230,침산동,2723056000,침산2동,2.72E+11,대구광역시 북구 호암로 51 (침산동),41585,라마989657,35.88368816,128.5959763,대구 주요 공연장 및 시내 전역,20190621,2019,6,21,20190708,2019,7,8,"공식초청작, 특별공연, 창작지원작, 대학생뮤지컬페스티벌 등",㈔대구국제뮤지컬페스티벌,대구광역시,"문화체육관광부, 한국문화예술위원회",053-622-1945,https://dimf.or.kr/,,20190625,6270000,대구광역시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000069,,제8회 세계인형음악극축제,경상북도,칠곡군,4785025022,47,47850,왜관읍,4785025000,왜관읍,4.79E+11,경상북도 칠곡군 왜관읍 관문로1길 32,39872,라마826776,35.99199957,128.4173003,칠곡군 교육문화회관 등,20190822,2019,8,22,20190825,2019,8,25,"공연, 부대체험행사",경상북도+칠곡군,칠곡문화원,,054-979-6433,http://www.chilgokmpf.com/www/main,,20190614,5220000,경상북도 칠곡군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000070,,제7회 낙동강세계평화문화 대축전,경상북도,칠곡군,4785025625,47,47850,석적읍,4785025600,석적읍,4.79E+11,경상북도 칠곡군 석적읍 석적로 226,39848,라마812806,36.019199,128.401401,칠곡보생태공원,20191011,2019,10,11,20191013,2019,10,13,"개폐막식, 공연,전시,체험 등",경상북도+칠곡군,낙동강세계평화문화대축전 추진위원회,문화체육관광부,054-979-6100,www.nakdongriver-peacefestival.or.kr,,20190614,5220000,경상북도 칠곡군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000080,,효문화뿌리축제,대전광역시,중구,3014011900,30,30140,안영동,3014074000,산성동,3.01E+11,대전광역시 중구 뿌리공원로 47 (안영동),35074,다바895098,36.2859869,127.3836984,뿌리공원,20190927,2019,9,27,20190929,2019,9,29,"개폐막행사, 문중(문화)행사, 체험(참여)행사, 전시행사, 부대행사",대전효문화뿌리축제위원회,대전광역시 중구,,042-606-6293,http://www.djjunggu.go.kr,뿌리공원,20200302,3650000,대전광역시 중구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000082,,괴산고추축제,충청북도,괴산군,4376025022,43,43760,괴산읍,4376025000,괴산읍,4.38E+11,충청북도 괴산군 괴산읍 임꺽정로 90,28026,라바256686,36.81574779,127.7875348,괴산군청 앞 광장,20190829,2019,8,29,20190901,2019,9,1,"괴산고추 등 농특산물 홍보, 괴산지역 문화소개",괴산축제위원회,괴산군,"문체부,농식품부, 농촌진흥청, 충청북도 등 8개기관",043-830-3463,http//festival.go.kr,,20190916,4460000,충청북도 괴산군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000085,,백마권역겨울놀이축제,충청북도,괴산군,4376039024,43,43760,사리면,4376039000,사리면,4.38E+11,충청북도 괴산군 사리면 사리로 517,28045,라바134711,36.83880878,127.6510421,사리백마권역활성화센터일원,20190104,2019,1,4,20190120,2019,1,20,눈썰매 타기 얼음썰매타기 빙어뜰채잡기,백마권역영농조합법인,괴산군,백마권역 영농조합법인,043-836-9911,,,20190916,4460000,충청북도 괴산군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000086,,강원아트페어춘천전,강원도,춘천시,4211010700,42,42110,옥천동,4211058000,소양동,4.21E+11,강원도 춘천시 서부대성로 71,24264,라사203869,37.8824701,127.731333,춘천문화예술회관 전시장,20190611,2019,6,11,20190616,2019,6,16,"전시, 아트페어 등",(사)한국미술협회 춘천지부,"(사)한국미술협회강원도지회, G1강원민방","춘천시, 춘천시문화재단",033-241-1856,http://cafe.daum.net/CCART,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000087,,춘천국제고음악제,강원도,춘천시,4211010900,42,42110,죽림동,4211054500,약사명동,4.21E+11,강원도 춘천시 중앙로77번길 35,24354,라사201864,37.8774474,127.7288095,"춘천문화예술회관, 국립춘천박물관, 봄내극장",20190921,2019,9,21,20190928,2019,9,28,클래식 음악공연,(사)춘천국제고음악제,(사)춘천국제고음악제,"춘천시, 국립춘천박물관, 강원대학교",033-259-5830,http://ciemfestival.co.kr,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000090,,제28회 함안낙화놀이,경상남도,함안군,4873031023,48,48730,함안면,4873031000,함안면,4.87E+11,경상남도 함안군 함안면 괴산4길 25,52051,라라839959,35.25542023,128.4227474,무진정,20190512,2019,5,12,20190512,2019,5,12,전통문화 계승 발전,함안낙화놀이보존회,함안군,수시변동,055-580-2325,haman.go.kr,"함안박물관, 입곡군립공원",20190220,5400000,경상남도 함안군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000091,,무술년 삼칠민속줄다리기,경상남도,함안군,4873025321,48,48730,칠원읍,4873025300,칠원읍,4.87E+11,경상남도 함안군 칠원읍 원서로 4,52017,라마926019,35.30883803,128.5185567,칠원읍사무소 사거리,20190329,2019,3,29,20190330,2019,3,30,민속줄다리기,삼칠민속줄다리기위원회,함안군,수시변동,055-587-2737,,,20190220,5400000,경상남도 함안군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000092,,제32회 함안아라문화제,경상남도,함안군,4873025024,48,48730,가야읍,4873025000,가야읍,4.87E+11,경상남도 함안군 가야읍 함안대로 619,52036,라라818990,35.28326216,128.4001528,"함안공설운동장, 함주공원 일원",20190426,2019,4,26,20190428,2019,4,28,아라가야 역사문화 체험,"함안군아라제위원회, 각 기관단체",함안군,수시변동,055-585-9400,ara.or.kr,"함안박물관, 무진정, 입곡군립공원",20190220,5400000,경상남도 함안군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000097,,소래포구축제,인천광역시,남동구,2820011100,28,28200,고잔동,2820071000,논현고잔동,2.82E+11,인천광역시 남동구 아암대로 1247,21689,다사299318,37.38349123,126.7083559,인천 남동구 논현동,20190927,2019,9,27,20190929,2019,9,29,관광축제,남동구,남동구,,032-453-2142,www.namdong.go.kr/soraefestival,아프리카돼지열방확산방지를 위해 축제취소,20191224,3530000,인천광역시 남동구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000101,,2019 무한청춘 페스티벌,강원도,춘천시,4211011200,42,42110,효자동,4211062000,효자1동,4.21E+11,강원도 춘천시 효자상길5번길 13 (효자동),24336,라사201858,37.87261489,127.7293399,약사천 일대(예정),20190906,2019,9,6,20190908,2019,9,8,(세부 미정) 청년문화기획 프로그램 등,용역발주 예정,춘천시문화재단,,033-257-5827,www.cccf.or.kr,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000102,,문화의거리 문화한마당,강원도,춘천시,4211011200,42,42110,효자동,4211062000,효자1동,4.21E+11,강원도 춘천시 춘천로 112 (효자동),24336,라사200859,37.8734185,127.7278377,춘천시 애막골 길,20190817,2019,8,17,20190907,2019,9,7,공연 및 시민체험프로그램,(사)춘천마임축제,"춘천시, 춘천시문화재단",,033-242-0585,http://www.mimefestival.com,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
